pH,TEMPERATURA (°C),CONDUCTIVIDAD ELÉCTRICA (µS/cm),NITRATOS (mg N-NO3/l)
7.05,23.9,166,0.56
7.2,25.1,203,0.217
7.1,24.5,160,0.177
7.16,24.3,171,1.35
7.12,24.5,171,1.01
7.11,23.7,176,1.02
7.08,23.1,161,0.295
6.65,21.4,72.4,"<0,114"
6.61,21.6,71.3,"<0,114"
6.78,22.1,71.4,"<0,114"
7.01,22.3,77,"<0,114"
7.02,21.6,75.2,"<0,114"
7.07,22.4,86.6,0.168
7.11,22.6,87.6,"<0,114"
7.64,23.3,132,"<0,114"
7.2,23.6,108,0.12
7.07,24.9,113,0.125
7,25.1,141,0.62
7.03,25.1,163,0.642
7.09,25.3,171,"<0,114"
7.09,25.2,178,"<0,114"
7.27,25.7,177,"<0,114"
7.26,25.1,155,0.244
7.21,25.4,157,0.245
7.25,25.2,171,0.568
7.11,24.1,188,0.596
6.65,20.1,57.4,0.575
6.72,20.3,49.9,0.595
6.59,20.1,42.7,0.603
6.73,20.2,43.4,1.48
6.68,20.6,53.5,0.839
6.88,21.7,64.5,0.883
6.9,21.8,64.8,1.03
6.95,21.9,81.6,1.04
6.96,21.9,64.8,1.05
6.95,22.2,72,0.668
6.97,22.2,84.3,0.694
7.05,22,102,0.407
7.09,22.6,106,0.412
7.15,22.9,117,0.152
7.45,23.2,123,0.494
7.3,22.6,122,0.495
7.26,22.6,120,0.484
7.22,22.1,114,0.839
6.8,21.5,72.1,0.459
6.82,20.5,72.5,0.464
7.04,21.5,66,0.467
7.12,20.9,51.4,0.681
6.99,21,65.4,0.684
7.06,21.8,72.9,0.358
7.07,22.1,80,0.469
7.08,22.4,99.6,0.47
7.02,22.4,101,0.965
6.99,22.5,102,1.58
7.05,22.9,122,4.45
7,23,125,1.31
7.05,23.2,130,1.34
7.03,23.2,129,1
7.05,23.4,142,1
7.04,23.2,134,0.898
7.07,22.9,132,0.908
7.13,22.3,148,0.909
6.95,23.8,145,2.73
6.8,21.7,86.9,0.464
6.72,22,86.8,0.717
7.02,21.7,82.8,0.719
7.1,22.8,78.6,0.523
7.13,25.3,84.5,0.678
7.01,23.9,112,0.488
7.07,24.2,125,0.679
7.06,24.6,132,0.689
6.93,24.8,147,0.692
6.97,25,154,0.518
7,25.1,193,0.524
6.98,25.5,211,0.584
7.09,25.9,212,0.45
7.14,25.7,217,0.459
7.07,26.5,219,1.91
7.14,26.2,225,2.02
7.18,26.2,217,2.13
7.26,25.5,226,0.686
6.97,25.2,209,0.689
6.51,21.3,102,0.454
6.45,21.3,102,0.419
6.75,21.8,99.5,0.417
6.76,21.4,100,0.428
6.98,21.4,100,0.432
6.68,23.3,118,0.426
6.67,24.2,123,0.425
6.7,24.7,127,0.429
6.62,24.6,149,0.422
6.59,24.8,166,0.424
6.68,26.1,195,0.309
6.72,26.5,192,0.308
6.77,26.4,196,0.312
6.78,27.1,193,0.312
7.06,26.7,197,0.241
7.07,26.3,194,0.554
7.09,26.4,177,0.738
7.13,26.2,186,0.735
7.12,25.9,190,0.736
6.21,23,106,0.408
6.29,23.9,92.2,0.406
6.59,24,99.8,0.564
6.65,24.9,92.1,0.566
6.65,24.3,96.4,0.566
6.48,24.2,110,0.665
6.5,24.4,114,0.764
6.56,24.5,119,0.766
6.52,24.8,131,0.619
6.53,24.8,130,0.859
6.54,24.7,156,0.533
6.58,24.7,174,0.544
6.64,25.2,174,0.543
6.7,25,153,1.02
6.71,25.3,154,0.535
6.84,24.7,174,0.946
6.85,24.6,162,0.972
6.83,24.5,172,0.976
6.9,23.5,145,0.472
6.77,21.2,76.5,0.371
6.65,21.5,75.1,0.363
6.85,21.6,62.7,0.411
6.95,21.7,73.6,0.253
6.92,21.5,64.9,0.318
7.09,22.6,38.2,0.31
7.2,23.3,111,0.368
7.03,23.5,115,0.276
7.05,23.8,124,0.369
6.87,24.2,131,0.298
6.97,24.4,164,0.417
7.02,24.5,177,0.03
7.05,24.7,174,0.393
6.9,24.4,165,0.345
7.03,25.3,173,0.57
7.06,24.9,177,0.625
7.12,25.2,172,0.506
7.02,24.5,155,0.639
7.32,23.3,139,0.807
6.96,16,103,0.297
7.07,16.4,100,0.205
7.12,16,99.4,"<0,114"
7.15,18,97.5,0.501
7.31,18,95.6,0.377
6.92,24.1,106,0.264
6.91,23.7,110,0.485
6.75,23.9,139,0.863
6.84,24.2,137,0.213
6.79,24.5,148,0.196
6.82,25.7,160,0.237
6.95,25,174,0.165
6.87,25.1,179,0.186
6.94,24.9,171,"<0,114"
6.93,26.3,155,0.329
7,26,173,0.314
7.02,27.1,171,0.457
7.05,25.5,190,0.216
7.06,24.4,167,0.312
5.52,18,92.1,0.323
6.24,18,81.3,0.398
6.82,19,75.7,0.344
6.74,19,67.2,0.29
6.67,19,73,0.446
6.62,20,78.5,0.451
6.63,21,81.1,0.529
6.44,2.1,96.2,0.899
6.56,21,101,0.62
6.42,21,109,1.28
6.5,22,125,1.11
6.74,22,121,0.577
6.71,23,122,0.648
6.85,23,130,0.583
6.95,20,123,0.584
6.97,18,129,1.02
6.94,20,127,0.919
7.04,20,125,0.685
7.07,18,126,0.795
6.99,22,75.3,0.78
6.94,22.2,127,0.16
7.04,22.2,66.1,0.156
6.81,22.2,67.9,0.148
6.73,22.1,70.8,0.23
7.21,22,84.5,0.436
7.28,22,84.6,0.377
7.1,23,96.8,0.365
7.2,22,113,0.311
7.14,22,105,0.379
7.05,25,115,0.45
6.99,25,117,0.325
6.97,25,129,0.365
7.01,25,131,0.309
7.11,25.8,128,0.482
7.18,24.8,130,0.632
7.32,25,134,0.685
7.2,23.9,130,0.511
7.16,23.5,130,0.594
7.06,21.5,63.5,0.838
7.03,21.4,65.2,0.345
7.07,22.8,58,0.319
7.05,23.6,61.7,0.291
7.08,22.4,67.8,0.28
7.06,22.9,76,0.261
6.74,22.7,80.3,0.274
6.73,22.8,89.6,0.352
6.84,22.4,109,0.444
6.84,22.4,111,0.439
6.85,22.6,125,1
6.6,24,126,0.428
6.73,24.7,120,0.451
6.83,24.5,115,0.305
6.81,24.5,124,0.562
6.95,23.6,243,0.581
6.92,24,130,0.535
6.99,23.3,123,0.463
6.92,23.3,130,0.562
6.54,21,85.8,1.25
6.42,21.3,84,1.27
6.54,22,82.9,1.6
6.57,22.2,86.3,2.26
6.56,22.2,85.1,1.34
6.72,23.2,101,1.25
6.75,24.1,115,1.41
6.78,24.7,118,1.76
6.71,25,148,1.59
6.67,24.9,176,1.95
6.72,24.9,210,2.13
6.87,25.4,206,0.745
6.85,25.2,203,1.18
6.72,25.2,211,8.95
6.79,26.2,29.2,1.35
6.93,25.9,163,1.97
6.91,26,165,2.83
6.89,25.5,183,1.41
6.9,25.4,186,1.53
7.33,16,75.9,1.29
7.1,14,73.4,0.958
7.09,18,68.4,1.12
7.08,17,65,1.68
7.05,16,72,1.53
7.06,14,82.7,1.79
7.07,14,58.9,1.06
7.01,16,86.6,1.16
6.92,16,115,1.84
6.96,18,109,1.23
7.01,16,123,1.33
7.09,23,147,0.405
7.29,22.9,167,0.406
6.8,23.1,138,0.767
6.87,23.5,136,0.636
7.09,23.6,149,0.429
7.1,24.3,139,0.415
7.11,23.7,152,0.475
7.09,23.5,138,0.558
7.08,20,95.3,0.684
7.01,20,93.2,0.349
7.02,21,88.3,0.664
7.03,21,82.3,0.732
7.03,22,83,0.986
7.09,22,102,1.06
7.1,22,93,1.03
7.14,22,97.6,1.06
7.08,22,108,1.16
7.08,21,128,1.32
7.07,21,129,1.13
7.13,24.1,141,1.21
7.14,24.9,132,1.98
7.15,24.5,130,2.96
7.29,24.7,148,0.666
7.22,24.9,157,0.773
7.23,24.5,151,0.78
7.37,24.7,155,0.804
7.28,22.7,165,1.05
7.12,17,85.2,0.405
7.07,17,78.6,0.417
7.07,18,77.7,0.291
7.08,17,78,0.224
7.67,19,85.6,0.265
7.51,21,98.2,0.303
7.54,22,108,0.294
7.46,20,109,0.351
7.28,20,137,0.447
7.22,20,157,0.31
7.12,22,214,"<0,114"
7.18,23,181,"<0,114"
6.9,24,184,"<0,114"
7.23,24,181,0.225
7.25,24,186,"<0,114"
7.23,21,191,0.201
7.27,22,186,0.638
7.28,22,175,1.02
7.27,22,154,0.927
7.12,22,110,"<0,114"
7.04,22,106,"<0,114"
7.09,28,103,"<0,114"
7.08,26,102,"<0,114"
7.12,25,105,0.136
7.07,26,113,0.251
7.08,25,117,0.249
7.1,26,128,0.337
7.03,24,166,0.253
7,24,178,"<0,114"
6.96,24,203,"<0,114"
7.22,24,192,"<0,114"
7.23,24,198,"<0,114"
7.21,24,194,"<0,114"
7.26,22,206,"<0,114"
7.2,22,196,0.548
7.21,24,209,0.624
7.26,22,197,0.927
7.35,20,205,1.34
6.76,23.7,,
6.72,23.7,,
7.11,23.7,,
7.33,24.8,,
7.41,25.6,,
7.49,25.9,,
7.38,25.5,,
7.22,25.3,,
7.35,25.3,,
7.24,25.3,,
7.34,24.8,,
7.27,25.5,,
7.22,25.8,,
7.08,27.6,,
7.23,28,,
7.19,28.1,,
7.18,28.7,,
7.19,28,,
7.14,27.7,,
7.03,24.4,106,0.498
6.77,23.1,105,0.618
7.28,25.5,90.2,0.748
7.48,28.5,90.7,1.19
7.19,24.3,88.3,1.04
7.14,24.6,91.4,1.22
7.19,26.9,92.6,1.11
7.09,22.9,102,1.7
7.2,24.4,113,1.15
7.26,25.4,111,1.64
7.11,25.3,133,1.5
7.38,24.2,151,1.33
7.6,25.4,143,1.96
7.78,26,146,2.16
7.45,24.9,139,1.88
7.59,24.4,150,2.6
7.41,23.9,197,1.77
7.51,23.3,153,1.62
7.64,22.1,147,1.9
6.36,22.2,119,0.72
7.04,21.8,94.2,0.7
7.32,28.1,93.4,0.61
7.65,24.3,94.9,0.57
7.1,32.7,95.4,0.58
6.48,24.2,99.3,0.69
7.09,24.2,104,0.63
7.24,25,110,0.62
7.26,26.2,138,0.64
7.07,25.3,158,0.59
7.17,25.2,177,1.21
6.82,26.5,187,0.35
6.81,26.5,181,0.72
7.26,27.7,183,0.49
7.11,28.6,161,1.62
7.14,25,166,1.62
7.04,26.8,156,2.65
7.03,26.2,159,3.32
7.02,25.1,167,2.62
7.48,17,79,3.03
7.18,17.8,74,1.02
7.38,19.6,77.2,1.28
7.37,18.1,74,1.35
7.58,18,77.2,1.02
7.51,20,97,0.98
7.49,19.8,100,0.92
7.52,19.3,98.8,1.38
7.56,19.4,111,1.77
7.33,19.6,120,1.4
7.4,20.2,133,1.67
7.46,25.7,141,1.68
7.15,24.5,169,2.1
7.65,24.4,148,1.58
7.32,25.5,145,1.32
7.06,24.5,151,2.44
7.05,25.7,149,1.58
7.06,24.4,171,1.22
7.03,23.4,140,1.56
7.41,20.8,65.1,1.1
7.4,21,64.4,2.35
7.37,20.7,60.4,0.5
7.54,21.5,98.4,0.61
7.68,22.3,64.1,1.77
7.45,22.6,1706,1.18
7.7,23,92.6,0.82
7.79,22.2,589,1.58
7.7,22.7,96,1.64
7.38,21.9,119,1.63
7.7,23.1,136,0.95
7.11,18.2,139,2.81
7.33,19,165,1.71
7.39,18,160,1.02
6.96,20,150,2.17
7.4,18,140,2.68
7.45,18,135,1.92
7.37,18.1,137,4.01
7.24,18,134,3.64
7.04,18.5,80,0.51
7.16,18.2,70.7,0.33
7.51,18,68.7,"<0,0670"
7.51,18,68,0.36
7.71,18,72.3,0.4
6.55,18.5,98.7,0.415
7.12,18,101,0.48
7.08,18.5,100,0.405
7.19,18.4,112,0.505
7.04,19,121,0.395
7.18,20,148,0.395
7.79,22,142,0.455
7.5,23,177,0.48
7.71,23,171,0.875
7.59,24,182,0.54
7.36,23,192,0.73
7.47,23,183,0.7
7.47,23,189,0.75
7.55,22,166,0.355
6.74,21,114,"<0,0921"
6.85,21.4,114,"<0,0921"
6.65,22,108,"<0,0921"
6.63,21.5,94.2,0.13
6.92,21.3,108,0.26
6.99,22,122,0.66
6.92,22,140,0.54
7.13,21.4,169,0.5
6.96,21,143,0.57
7.09,21.2,161,0.63
7.08,20.7,200,2.83
6.85,21,205,0.53
7.36,22,210,0.25
7.05,22,198,0.65
7.38,21,195,0.85
7.15,21,196,4.7
7.12,22,201,3.91
7.5,22,193,2.48
7.35,22,191,3.57
7.28,23,74.3,0.52
7.38,23,71.2,0.49
7.39,23,88.8,0.43
7.4,23,69.4,0.48
7.57,26,69.7,0.47
7.4,26,86.3,"<0,230"
7.37,25,87.6,0.44
7.43,24,93.8,0.6
7.53,23,93.4,0.58
7.48,23,98.3,0.59
7.46,23,109,0.51
6.8,24.2,113,0.55
7.16,24.3,123,0.67
7,24.9,114,0.68
6.9,24.7,124,0.8
7.13,24.4,145,0.87
7.03,24.9,141,1.01
7.03,24.4,144,1.27
7.13,24.2,143,1.55
6.95,20.6,77.7,1.07
7.06,19,80.2,0.581
7.48,22.5,73.7,0.439
7.53,22.5,77,0.47
7.45,23,82.8,0.5
7.45,22,102,0.519
7.36,22,109,1.01
7.31,23,106,0.659
7.25,23,124,"<0,0519"
7.24,22,135,0.781
7.22,20,150,0.636
7.29,24,145,0.311
7.37,24,167,0.454
7.35,24.5,172,0.38
7.33,25,172,0.529
7.3,25.5,168,0.774
7.26,25.5,174,0.884
7.3,25,176,1.05
7.27,24,163,0.878
6.61,22,89.1,0.496
7.23,22,91.1,0.459
7.21,22,87.4,0.531
7.9,25,88.9,0.514
7.49,21.5,88.2,0.435
7.81,24,101,0.401
7.38,23.5,133,0.431
7.51,23.5,122,0.471
7.38,23.5,140,0.413
7.36,24,152,0.34
7.36,23.5,164,0.406
7.21,23.1,172,0.531
7.38,23.3,200,0.577
7.3,22.7,174,0.474
7.33,23.5,181,0.573
7.46,23.3,189,1.02
7.42,23.5,190,1.05
7.43,20.9,187,1.41
7.41,20.4,191,1.51
,,,
,,,
,,,
7.83,22.6,70.3,0.727
7.88,22.7,92.5,0.178
6.21,25,101,0.198
6.39,25,131,0.162
6.16,25,122,0.143
6.58,24,132,0.132
6.49,26,142,0.143
6.33,26,136,0.167
6.48,26,157,0.19
6.67,26,176,0.184
6.43,26,151,0.19
7.47,24,152,1.54
7.29,23,152,1.04
7.35,22,149,1.33
7.35,23,155,1.52
7.56,23,126,1.85
7.06,22,69.3,0.566
7.36,22,70.1,0.552
7.24,22,65.9,0.518
7.31,22,64.4,0.564
7.33,22,70.1,0.557
7.64,22,81.5,0.464
6.85,22,85.4,0.649
7.55,22,86.9,0.735
7.5,23,97.8,0.675
7.42,22,104,0.647
7.24,23,114,0.635
7.34,23,121,0.653
7.18,23,130,0.695
7.29,23,128,0.678
7.47,25.4,125,1.16
7.48,26.1,123,1.21
7.52,25.4,135,0.861
7.49,27,125,1.25
6.87,24.6,143,0.905
6.35,20,85.1,0.66
6.25,20,85.4,0.39
7.08,20,83.9,0.26
6.86,22,81.9,0.25
6.96,22,83.9,0.78
7.17,16,101,0.315
7.06,16,104,0.396
7.05,18,108,0.626
7.02,18,125,0.41
7.05,19,133,0.35
6.94,19,149,0.32
7.03,20,153,0.27
7.08,20,174,0.33
7.04,20,166,0.29
7.28,25,166,0.41
7.62,26,176,0.43
7.26,26,184,0.63
7.42,25,189,0.76
7.41,26,199,1.16
6.7,23.5,144,"<0,0520"
6.72,23.5,184,"<0,0520"
7.06,23.5,111,0.572
7.16,23.6,145,0.247
7.28,22.3,110,0.68
7.87,24,124,1.09
7.64,23,130,0.709
7.66,24,135,0.816
7.78,25,150,1.68
7.33,26,155,1.09
7.03,26,184,1.4
7.05,27,202,0.348
7.16,26,205,1.46
7.16,26,186,0.678
7.45,25.1,171,1.87
7.48,23.8,180,1.48
7.34,24.3,171,2.02
7.44,24.3,174,1.28
7.55,23.5,159,1.27
7.07,25.5,112,0.346
7.12,24.3,87,0.355
7.34,24.7,92.8,0.334
7.38,25.7,81.6,0.382
7.31,25.4,82.2,0.379
7.33,25.6,87.5,0.42
7.28,24.9,88.3,0.422
7.25,24.6,92.8,0.485
7.16,24.6,108,0.43
6.98,24.1,143,0.438
6.83,25,121,0.429
6.94,23,120,0.434
6.98,23,147,0.509
7.02,23,129,0.5
7.05,23,167,0.6
6.92,24,137,0.784
7.03,23,129,0.957
7.06,23,136,1.05
6.94,20,171,0.966
7.53,27,102,"< 0,171"
7.38,25,99.9,"< 0,171"
7.5,26,122,"< 0,171"
7.58,26,92.3,"< 0,171"
7.5,26.6,129,0.284
7.21,23.8,105,0.31
7.43,24.2,145,0.315
7.14,24.4,110,0.36
7.11,24.7,130,0.33
7.08,25.5,133,0.407
7,25.3,144,0.333
7.02,25.7,155,0.299
7.08,26.2,147,0.382
7.11,26.2,147,0.385
7.25,28,140,0.526
7.22,25.5,148,0.516
7.25,25.1,135,0.855
7.28,24.8,137,0.816
7.45,24.7,127,0.972
7.44,23,65.1,0.316
7.41,23,64.1,0.305
7.71,23,59.6,0.292
7.75,23,60.7,0.291
7.84,23,62.9,0.31
7.54,22,79.1,0.316
7.49,22,86.4,0.344
7.21,22,97.9,0.313
7.3,21,102,0.352
7.14,21,101,0.383
7.33,22,114,0.42
7.49,22.5,125,0.391
7.51,22.3,162,0.856
7.44,21.8,151,0.559
7.6,22.2,233,0.247
7.4,20.3,125,0.302
7.43,21.2,129,0.459
7.32,20.5,144,0.602
5.32,22.2,126,0.479
6.77,21.2,94.8,0.358
6.71,21.5,88.4,0.351
6.88,21.9,86.4,0.337
6.88,22.4,86.5,0.344
7.24,24.1,89.4,0.355
7.2,28,110,0.368
7.24,23.8,97.9,0.355
7.16,23.9,103,0.372
6.41,23,114,0.379
6.96,24,116,0.384
6.96,23.7,131,0.387
7.48,24,131,0.39
7.34,24,144,"<0,202"
7.32,26,141,0.475
7.26,26,145,0.532
7.4,25,151,0.627
7.28,25,159,0.658
7.28,23,148,0.741
7.54,19,153,0.868
6.78,21.2,55,4.30E+02
687,218,687,2.30E+02
6.73,20.9,69.8,9.00E+02
6.67,20.9,556,9.30E+02
69,221,666,1.50E+03
6.72,21.2,71.9,9.00E+01
6.74,21.2,516,9.00E+02
74,23,620,9.30E+03
6.96,22,69,4.30E+02
6.75,21.6,531,9.00E+02
705,23,562,1.50E+04
6.97,22.7,70,9.30E+03
6.71,21.4,586,1.50E+03
728,223,600,2.40E+03
7.11,22.8,79.8,2.40E+04
6.87,21.6,134,1.50E+04
737,226,679,1.50E+04
7.31,22.9,81.9,4.30E+03
6.86,21.5,73,2.40E+04
72,223,76,4.30E+04
7.12,23.2,89.9,4.30E+03
6.94,21,692,4.30E+04
72,202,788,4.00E+04
7.1,22.5,95.3,9.30E+04
6.89,20.9,77,2.30E+05
712,219,875,1.50E+06
7.15,22.3,112,1.50E+08
6.91,20.9,784,9.00E+04
716,213,103,2.40E+06
7.1,22.8,113,4.30E+04
6.96,20.7,93,9.30E+04
729,218,107,5.00E+06
6.98,23.1,124,9.30E+06
7.51,19,107,2.30E+04
737,22,123,5.00E+07
7.14,24.6,115,4.30E+06
7.58,19,138,1.50E+03
726,22,119,1.50E+05
7.13,24.8,112,9.30E+04
6.49,19,108,7.30E+04
707,217,114,7.50E+05
6.9,24.5,114,4.30E+04
6.7,20,112,2.40E+04
678,221,123,1.50E+04
7.18,25.2,120,2.40E+04
6.53,20,134,4.30E+03
716,215,124,4.30E+05
7.16,24.5,129,1.50E+05
6.52,20,133,7.50E+03
71,218,147,7.30E+03
7.18,23.8,127,2.40E+04
6.57,19,135,2.30E+03
714,218,139,4.30E+03
7.19,22.7,139,4.30E+03
6.64,22.6,139,9.00E+04
688,218,138,9.30E+03
7.21,23.7,136,9.30E+04
